State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.54412	1.52888	1.53802	1.53040	1.57003	1.60966	1.67673	1.64930	1.71484	1.66911	1.69655	1.80478	1.75600	1.71484	1.74838	1.78039	1.79411	1.80935	1.77277	1.80325	1.82459
2	1.60900	1.61866	1.63799	1.66698	1.67181	1.69597	1.75878	1.87958	1.89407	1.92307	2.04869	2.10667	2.22264	2.27096	2.09218	2.14050	2.16466	2.04386	2.06319	1.96172	2.07285
3	3.62500	3.56344	3.37193	3.23514	3.18042	3.24882	3.34457	3.28302	3.02311	2.86580	2.59222	2.66745	2.53750	2.59222	2.57170	2.64009	2.57854	2.54434	2.84528	2.75637	2.68797
4	4.10133	4.08079	3.99038	3.89997	3.82188	3.59586	3.41915	3.24655	3.10682	3.00819	2.92189	2.88080	2.86847	2.93011	3.04929	3.06162	3.13559	3.20956	3.05751	3.12737	3.12737
5	2.11114	2.03887	2.07310	2.07691	2.08832	2.18722	2.14538	2.25569	2.21004	2.15679	2.05408	1.98561	1.85248	1.86389	1.78781	1.71934	1.70793	1.70413	1.81444	1.73456	1.70413
6	1.08048	1.06721	1.05100	1.02004	1.02741	1.00530	1.01415	0.99793	0.99204	0.97287	0.95961	0.91833	0.90654	0.83726	0.81810	0.79599	0.78714	0.76945	0.77977	0.80483	0.81073
7	3.28190	3.27847	3.28019	3.27546	3.26429	3.24668	3.22391	3.20673	3.17194	3.14702	3.10793	3.03920	2.99023	2.94298	2.87596	2.81153	2.72862	2.67192	2.60963	2.54348	2.48677
8	0.64706	0.64988	0.65229	0.65474	0.65629	0.65810	0.65910	0.66174	0.66719	0.67418	0.67945	0.68517	0.69394	0.70003	0.70915	0.71610	0.72423	0.73218	0.73913	0.74517	0.75099
9	1.06450	0.97390	0.88330	1.13244	1.10979	0.95125	1.08714	1.13244	1.20039	0.99655	1.31363	1.56277	1.33628	1.47217	1.33628	1.17774	1.31363	1.31363	1.29098	1.26833	1.08714
10	1.24160	1.24160	1.23615	1.23962	1.23218	1.23763	1.23863	1.24160	1.24160	1.24706	1.25400	1.24656	1.24854	1.25251	1.24408	1.24061	1.23763	1.22375	1.20887	1.22028	1.21483
